,0,1
0,pokemon98,pokemon201
1,pokemon58,pokemon49
2,pokemon349,pokemon284
3,pokemon294,pokemon15
4,pokemon298,pokemon9
5,pokemon146,pokemon94
6,pokemon66,pokemon190
7,pokemon302,pokemon274
8,pokemon104,pokemon122
9,pokemon203,pokemon55
10,pokemon90,pokemon349
11,pokemon89,pokemon36
12,pokemon285,pokemon181
13,pokemon328,pokemon364
14,pokemon181,pokemon89
15,pokemon353,pokemon128
16,pokemon236,pokemon308
17,pokemon141,pokemon160
18,pokemon333,pokemon329
19,pokemon127,pokemon364
20,pokemon210,pokemon58
21,pokemon69,pokemon146
22,pokemon299,pokemon17
23,pokemon349,pokemon102
24,pokemon159,pokemon186
25,pokemon68,pokemon140
26,pokemon134,pokemon210
27,pokemon273,pokemon79
28,pokemon215,pokemon350
29,pokemon291,pokemon200
30,pokemon79,pokemon333
31,pokemon1,pokemon205
32,pokemon331,pokemon146
33,pokemon27,pokemon252
34,pokemon152,pokemon51
35,pokemon363,pokemon38
36,pokemon126,pokemon284
37,pokemon340,pokemon326
38,pokemon123,pokemon278
39,pokemon82,pokemon79
40,pokemon160,pokemon218
41,pokemon50,pokemon16
42,pokemon266,pokemon47
43,pokemon57,pokemon63
44,pokemon56,pokemon144
45,pokemon256,pokemon80
46,pokemon74,pokemon14
47,pokemon45,pokemon94
48,pokemon14,pokemon333
49,pokemon124,pokemon304
50,pokemon101,pokemon83
51,pokemon7,pokemon361
52,pokemon100,pokemon199
53,pokemon30,pokemon16
54,pokemon314,pokemon43
55,pokemon176,pokemon103
56,pokemon179,pokemon80
57,pokemon199,pokemon109
58,pokemon157,pokemon166
59,pokemon105,pokemon126
60,pokemon116,pokemon59
61,pokemon157,pokemon340
62,pokemon157,pokemon42
63,pokemon305,pokemon1
64,pokemon314,pokemon173
65,pokemon63,pokemon31
66,pokemon26,pokemon11
67,pokemon274,pokemon310
68,pokemon343,pokemon222
69,pokemon254,pokemon271
70,pokemon310,pokemon310
71,pokemon291,pokemon310
72,pokemon19,pokemon203
73,pokemon276,pokemon271
74,pokemon172,pokemon56
75,pokemon242,pokemon179
76,pokemon313,pokemon23
77,pokemon318,pokemon107
78,pokemon36,pokemon264
79,pokemon182,pokemon337
80,pokemon88,pokemon182
81,pokemon72,pokemon211
82,pokemon149,pokemon304
83,pokemon17,pokemon74
84,pokemon150,pokemon86
85,pokemon5,pokemon273
86,pokemon268,pokemon80
87,pokemon314,pokemon343
88,pokemon237,pokemon40
89,pokemon78,pokemon179
90,pokemon92,pokemon336
91,pokemon136,pokemon354
92,pokemon153,pokemon154
93,pokemon56,pokemon76
94,pokemon363,pokemon312
95,pokemon148,pokemon366
96,pokemon149,pokemon32
97,pokemon340,pokemon181
98,pokemon25,pokemon109
99,pokemon340,pokemon335
