index,Association Rule antecedants,Association Rule consequents,label
0,"WOODLAND CHARLOTTE BAG, CHARLOTTE BAG PINK POLKADOT","CHARLOTTE BAG SUKI DESIGN, RED RETROSPOT CHARLOTTE BAG",0
1,FRENCH ENAMEL WATER BASIN,"FRENCH BLUE METAL DOOR SIGN 7, CHEST OF DRAWERS GINGHAM HEART",0
2,"NATURAL SLATE HEART CHALKBOARD, DOTCOM POSTAGE",JUMBO BAG RED RETROSPOT,0
3,GIRLS PARTY BAG,BLUE COAT RACK PARIS FASHION,0
4,"LUNCH BAG SPACEBOY DESIGN, LUNCH BAG WOODLAND",LUNCH BAG CARS BLUE,0
5,"REGENCY CAKESTAND 3 TIER, NUMBER TILE VINTAGE FONT 0","Damages/samples, DRAWER KNOB CRACKLE GLAZE GREEN",0
6,"3 BLACK CATS W HEARTS BLANK CARD, ILLUSTRATED CAT BOWL",NECKLACE+BRACELET SET BLUE BLOSSOM,0
7,VEGETABLE MAGNETIC  SHOPPING LIST,SET OF 6 ICE CREAM SKITTLES,0
8,SMALL JEWELLERY STAND,PINK ROSEBUD & PEARL NECKLACE,0
9,"RED RETROSPOT CHARLOTTE BAG, WOODLAND CHARLOTTE BAG, CHARLOTTE BAG PINK POLKADOT",STRAWBERRY CHARLOTTE BAG,0
10,"TRAVEL CARD WALLET VINTAGE ROSE, METAL SIGN NEIGHBOURHOOD WITCH","ASSORTED COLOUR SUCTION CUP HOOK, ASSORTED TUTTI FRUTTI MIRROR",0
11,"PAINTED YELLOW WOODEN DAISY, GLASS CLOCHE LARGE",PETIT TRAY CHIC,0
12,"SET OF 10 LANTERNS FAIRY LIGHT STAR, SET/3 CHRISTMAS DECOUPAGE CANDLES",PINK COMBO MINI CRYSTALS NECKLACE,0
13,"REGENCY TEA PLATE GREEN, REGENCY TEA PLATE ROSES",REGENCY TEA PLATE PINK,0
14,"JUMBO BAG OWLS, JUMBO BAG WOODLAND ANIMALS",JUMBO BAG RED RETROSPOT,0
15,EAU DE NIL LOVE BIRD CANDLE,"HEART SHAPED MIRROR, NINJA RABBIT BLACK",0
16,"had been put aside, VINTAGE ROSE BEAD BRACELET BLACK",CHERRY BLOSSOM CANVAS ART PICTURE,0
17,S/4 CACTI CANDLES,SMALL HAMMERED SILVER CANDLEPOT,0
18,BOOM BOX SPEAKER GIRLS,PHOTO CLIP LINE,0
19,"SKULLS TAPE, GREEN SWEETHEART BRACELET","3 TIER CAKE TIN RED AND CREAM, GREEN METAL BOX TOP SECRET",0
20,BAKING SET 9 PIECE RETROSPOT,BUNNY EGG BOX,0
21,"LUNCH BAG RED RETROSPOT, JUMBO SHOPPER VINTAGE RED PAISLEY",JUMBO BAG RED RETROSPOT,0
22,CALENDAR FAMILY FAVOURITES,MONTANA DIAMOND CLUSTER EARRINGS,0
23,"check?, COLUMBIAN  CUBE CANDLE",RETRO LONGBOARD IRONING BOARD COVER,0
24,PAINTED METAL PEARS ASSORTED,ASSORTED COLOUR BIRD ORNAMENT,0
25,MISTLETOE HEART WREATH CREAM,"alan hodge cant mamage this section, FELTCRAFT GIRL AMELIE KIT",0
26,CROCHET DOG KEYRING,Printing smudges/thrown away,0
27,damages/display,HEARTS  STICKERS,0
28,SPOTS ON RED BOOKCOVER TAPE,"TEA TIME BREAKFAST BASKET, RIBBON REEL CHRISTMAS SOCK BAUBLE",0
29,BUNNY EGG BOX,GARDENERS KNEELING PAD KEEP CALM,0
30,HERB MARKER THYME,"HERB MARKER PARSLEY, HERB MARKER MINT",0
31,MAGNETS PACK OF 4 SWALLOWS,WRAP KEEP CALM BIRTHDAY,0
32,"BLUE CAT BISCUIT BARREL PINK HEART, WALL ART 70'S ALPHABET",CHEST 7 DRAWER MA CAMPAGNE,0
33,SET/6 PURPLE BUTTERFLY T-LIGHTS,"LETTER ""V"" BLING KEY RING, LETTER ""I"" BLING KEY RING",0
34,"PACK OF 60 DINOSAUR CAKE CASES, YOU'RE CONFUSING ME METAL SIGN",MOROCCAN TEA GLASS,0
35,"LETTER ""Z"" BLING KEY RING, GLASS AND PAINTED BEADS BRACELET OL","CAROUSEL PONIES BABY BIB, KINGS CHOICE TEA CADDY",0
36,LARGE CAKE STAND HANGING HEARTS,TV DINNER TRAY AIR HOSTESS,0
37,"LARGE MEDINA STAMPED METAL BOWL, GINGHAM RECIPE BOOK BOX","NECKLACE+BRACELET SET BLUE BLOSSOM, BOTANICAL GARDENS WALL CLOCK",0
38,"STOP FOR TEA WALL ART, BANQUET BIRTHDAY  CARD","ANTIQUE GLASS HEART DECORATION, ANT COPPER TURQ BOUDICCA BRACELET",0
